"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002986,0.000021,"ops/ns",Code.Java.Abacus.v1.Rare.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,136.656003,0.974347,"MB/sec",Code.Java.Abacus.v1.Rare.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004663,0.000067,"B/op",Code.Java.Abacus.v1.Rare.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MCDEuclides
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,330.158824,0.942224,"ns/op",Code.Java.Abacus.v1.Rare.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,138.724788,0.387245,"MB/sec",Code.Java.Abacus.v1.Rare.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004577,0.000057,"B/op",Code.Java.Abacus.v1.Rare.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MCDEuclides
"com.bench.AbacusBenchmark.testMethod","sample",1,11792228,362.698070,0.226839,"ns/op",Code.Java.Abacus.v1.Rare.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,137.466339,0.294849,"MB/sec",Code.Java.Abacus.v1.Rare.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.021451,0.001297,"B/op",Code.Java.Abacus.v1.Rare.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,320.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,440.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3116.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5808.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,214016.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MCDEuclides
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,11640.068862,1988.307809,"ns/op",Code.Java.Abacus.v1.Rare.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,102.743755,4.431089,"MB/sec",Code.Java.Abacus.v1.Rare.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.131737,156.087048,"B/op",Code.Java.Abacus.v1.Rare.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MCDEuclides
