"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003348,0.000009,"ops/ns",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,153.244206,0.423300,"MB/sec",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004145,0.000052,"B/op",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,30.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,81.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,290.253448,0.683363,"ns/op",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,157.759789,0.351717,"MB/sec",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004023,0.000050,"B/op",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,33.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,91.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod","sample",1,13003335,329.341596,0.815671,"ns/op",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,151.648908,0.369345,"MB/sec",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.018891,0.001172,"B/op",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,30.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,79.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,290.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,321.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,331.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,331.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,400.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,2924.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5608.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3137536.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,12946.605788,2495.048061,"ns/op",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,105.014110,4.574389,"MB/sec",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.612774,156.236949,"B/op",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MCM
