"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003119,0.000008,"ops/ns",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,142.747398,0.352688,"MB/sec",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004446,0.000056,"B/op",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,28.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,75.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,320.629474,0.785491,"ns/op",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,142.815520,0.334170,"MB/sec",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004447,0.000055,"B/op",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,29.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,76.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod","sample",1,11664713,363.438776,0.210961,"ns/op",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,135.996561,0.342716,"MB/sec",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.021028,0.001232,"B/op",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,320.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,440.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3076.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5696.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,143360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14125.498004,2305.301646,"ns/op",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,98.953981,4.254258,"MB/sec",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.570858,156.075622,"B/op",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MaximoArray
