"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003020,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,138.219909,0.327315,"MB/sec",Code.Java.Abacus.v1.Rare.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004592,0.000058,"B/op",Code.Java.Abacus.v1.Rare.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,67.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MediaPonderada
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,337.240819,0.790792,"ns/op",Code.Java.Abacus.v1.Rare.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,135.774208,0.305689,"MB/sec",Code.Java.Abacus.v1.Rare.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004675,0.000059,"B/op",Code.Java.Abacus.v1.Rare.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MediaPonderada
"com.bench.AbacusBenchmark.testMethod","sample",1,11357122,375.158054,0.253321,"ns/op",Code.Java.Abacus.v1.Rare.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,132.368106,0.326802,"MB/sec",Code.Java.Abacus.v1.Rare.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022179,0.001333,"B/op",Code.Java.Abacus.v1.Rare.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,330.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,451.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3256.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6112.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,216576.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MediaPonderada
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,17365.676647,2187.788243,"ns/op",Code.Java.Abacus.v1.Rare.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,84.611277,4.503640,"MB/sec",Code.Java.Abacus.v1.Rare.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.267465,156.067101,"B/op",Code.Java.Abacus.v1.Rare.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MediaPonderada
