"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003260,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.Mediana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,149.185470,0.337848,"MB/sec",Code.Java.Abacus.v1.Rare.Mediana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004255,0.000053,"B/op",Code.Java.Abacus.v1.Rare.Mediana
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,30.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Mediana
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,78.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Mediana
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,307.692098,0.738852,"ns/op",Code.Java.Abacus.v1.Rare.Mediana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,148.825542,0.346976,"MB/sec",Code.Java.Abacus.v1.Rare.Mediana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004267,0.000052,"B/op",Code.Java.Abacus.v1.Rare.Mediana
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,30.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Mediana
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,76.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Mediana
"com.bench.AbacusBenchmark.testMethod","sample",1,12596931,340.165353,1.396380,"ns/op",Code.Java.Abacus.v1.Rare.Mediana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,146.903124,0.363222,"MB/sec",Code.Java.Abacus.v1.Rare.Mediana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.019739,0.001198,"B/op",Code.Java.Abacus.v1.Rare.Mediana
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,30.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Mediana
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,78.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Mediana
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,300.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Mediana
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,331.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Mediana
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,341.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Mediana
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,341.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Mediana
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,410.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Mediana
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,2964.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Mediana
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5680.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Mediana
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3117056.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Mediana
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14412.919162,2073.636841,"ns/op",Code.Java.Abacus.v1.Rare.Mediana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,91.748442,4.246070,"MB/sec",Code.Java.Abacus.v1.Rare.Mediana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.652695,156.064656,"B/op",Code.Java.Abacus.v1.Rare.Mediana
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Mediana
