"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003089,0.000006,"ops/ns",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,141.358652,0.297623,"MB/sec",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004491,0.000055,"B/op",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,323.948700,0.798227,"ns/op",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,141.358094,0.340699,"MB/sec",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004491,0.000057,"B/op",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,28.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod","sample",1,11702411,361.324216,1.313692,"ns/op",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,136.437693,0.384309,"MB/sec",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.021395,0.001316,"B/op",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,75.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,320.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,431.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3116.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5848.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2777088.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13981.039920,2362.339025,"ns/op",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,110.696162,5.245454,"MB/sec",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6967.025948,156.079242,"B/op",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MinimoArray
