"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003359,0.000008,"ops/ns",Code.Java.Abacus.v1.Rare.Moda
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,153.713095,0.369549,"MB/sec",Code.Java.Abacus.v1.Rare.Moda
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004130,0.000051,"B/op",Code.Java.Abacus.v1.Rare.Moda
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,30.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Moda
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,78.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Moda
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,293.969733,0.589432,"ns/op",Code.Java.Abacus.v1.Rare.Moda
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,155.740284,0.298532,"MB/sec",Code.Java.Abacus.v1.Rare.Moda
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004075,0.000050,"B/op",Code.Java.Abacus.v1.Rare.Moda
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,30.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Moda
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,77.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Moda
"com.bench.AbacusBenchmark.testMethod","sample",1,13060582,325.014286,0.717460,"ns/op",Code.Java.Abacus.v1.Rare.Moda
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,152.311260,0.482871,"MB/sec",Code.Java.Abacus.v1.Rare.Moda
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.018907,0.001168,"B/op",Code.Java.Abacus.v1.Rare.Moda
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,30.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Moda
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,82.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Moda
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,280.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Moda
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,320.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Moda
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,321.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Moda
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,331.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Moda
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Moda
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,2924.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Moda
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5560.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Moda
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2748416.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Moda
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13507.415170,2177.693057,"ns/op",Code.Java.Abacus.v1.Rare.Moda
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,102.514338,4.719755,"MB/sec",Code.Java.Abacus.v1.Rare.Moda
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.373253,156.063425,"B/op",Code.Java.Abacus.v1.Rare.Moda
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Moda
