"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002719,0.000005,"ops/ns",Code.Java.Abacus.v1.Rare.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,124.431995,0.248617,"MB/sec",Code.Java.Abacus.v1.Rare.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005103,0.000063,"B/op",Code.Java.Abacus.v1.Rare.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,64.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,373.875273,0.827731,"ns/op",Code.Java.Abacus.v1.Rare.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,122.471824,0.263495,"MB/sec",Code.Java.Abacus.v1.Rare.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005183,0.000064,"B/op",Code.Java.Abacus.v1.Rare.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,65.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod","sample",1,11144976,405.485927,1.167332,"ns/op",Code.Java.Abacus.v1.Rare.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,121.149826,0.230506,"MB/sec",Code.Java.Abacus.v1.Rare.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.024249,0.001329,"B/op",Code.Java.Abacus.v1.Rare.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,67.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,491.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3504.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5888.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2772992.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14245.169661,2036.527467,"ns/op",Code.Java.Abacus.v1.Rare.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,103.435634,4.761893,"MB/sec",Code.Java.Abacus.v1.Rare.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.684631,156.073772,"B/op",Code.Java.Abacus.v1.Rare.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MultiplicacionNumeros
