"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002952,0.000006,"ops/ns",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,135.099229,0.279598,"MB/sec",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004700,0.000058,"B/op",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,344.718286,0.785268,"ns/op",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,132.832101,0.291089,"MB/sec",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004780,0.000059,"B/op",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod","sample",1,11125699,379.235202,1.409456,"ns/op",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,129.646510,0.323671,"MB/sec",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022545,0.001287,"B/op",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,330.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,370.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,451.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3316.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5928.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2818048.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13067.731537,1869.093802,"ns/op",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,100.252417,4.185217,"MB/sec",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6964.886228,156.238658,"B/op",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MultiplicarArray
