"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002963,0.000008,"ops/ns",Code.Java.Abacus.v1.Rare.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,135.585028,0.363993,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004684,0.000059,"B/op",Code.Java.Abacus.v1.Rare.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,345.783251,1.171045,"ns/op",Code.Java.Abacus.v1.Rare.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,132.498702,0.439990,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004794,0.000061,"B/op",Code.Java.Abacus.v1.Rare.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,69.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod","sample",1,11195522,379.168513,1.764823,"ns/op",Code.Java.Abacus.v1.Rare.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,130.484102,0.326677,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022158,0.001245,"B/op",Code.Java.Abacus.v1.Rare.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,76.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,330.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,370.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,380.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,461.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3284.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5976.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3551232.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,15010.843313,2432.006723,"ns/op",Code.Java.Abacus.v1.Rare.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,98.773483,4.744521,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6967.784431,156.134427,"B/op",Code.Java.Abacus.v1.Rare.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroAleatorio
