"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002898,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,132.653101,0.307854,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004785,0.000059,"B/op",Code.Java.Abacus.v1.Rare.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,338.873472,0.792795,"ns/op",Code.Java.Abacus.v1.Rare.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,135.123356,0.306140,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004700,0.000058,"B/op",Code.Java.Abacus.v1.Rare.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,68.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod","sample",1,11323141,378.451698,0.808116,"ns/op",Code.Java.Abacus.v1.Rare.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,131.996131,0.275078,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.021990,0.001327,"B/op",Code.Java.Abacus.v1.Rare.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,76.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,330.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,370.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,461.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3204.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5840.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2646016.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13234.623752,2339.754234,"ns/op",Code.Java.Abacus.v1.Rare.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,104.519108,4.578398,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.924152,156.065227,"B/op",Code.Java.Abacus.v1.Rare.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroArmstrong
