"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003061,0.000008,"ops/ns",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,140.116432,0.370380,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004530,0.000056,"B/op",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,322.262379,0.882555,"ns/op",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,142.115152,0.379180,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004468,0.000056,"B/op",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,28.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,78.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod","sample",1,12015059,355.630322,0.214836,"ns/op",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,140.093961,0.313772,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.020574,0.001150,"B/op",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,310.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,341.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,431.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3056.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5952.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,107776.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13914.697605,2202.227849,"ns/op",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,104.020416,4.665249,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.682635,156.100807,"B/op",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroMayor
