"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002998,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,137.222043,0.314705,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004624,0.000057,"B/op",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,334.731037,0.838858,"ns/op",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,136.806715,0.335224,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004641,0.000058,"B/op",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod","sample",1,11460524,382.490210,1.040155,"ns/op",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,129.656626,0.743670,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022716,0.001245,"B/op",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,330.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,400.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,451.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3296.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6008.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2535424.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14619.576846,2318.052076,"ns/op",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,89.514454,3.439732,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.668663,156.229700,"B/op",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroParImpar
