"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003040,0.000006,"ops/ns",Code.Java.Abacus.v1.Rare.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,139.145666,0.283671,"MB/sec",Code.Java.Abacus.v1.Rare.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004563,0.000056,"B/op",Code.Java.Abacus.v1.Rare.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,329.295918,0.836767,"ns/op",Code.Java.Abacus.v1.Rare.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,139.063750,0.339820,"MB/sec",Code.Java.Abacus.v1.Rare.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004566,0.000057,"B/op",Code.Java.Abacus.v1.Rare.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod","sample",1,11391845,369.322145,0.817557,"ns/op",Code.Java.Abacus.v1.Rare.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,132.781692,0.374070,"MB/sec",Code.Java.Abacus.v1.Rare.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.021979,0.001241,"B/op",Code.Java.Abacus.v1.Rare.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,330.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,441.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3164.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6000.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2715648.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,16829.280439,2250.522478,"ns/op",Code.Java.Abacus.v1.Rare.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,87.368021,4.470723,"MB/sec",Code.Java.Abacus.v1.Rare.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.828343,156.290245,"B/op",Code.Java.Abacus.v1.Rare.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumerosPrimos
