"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003044,0.000006,"ops/ns",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,139.331858,0.293683,"MB/sec",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004557,0.000056,"B/op",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,328.853555,0.820280,"ns/op",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,139.248763,0.332183,"MB/sec",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004558,0.000057,"B/op",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod","sample",1,11691382,365.464450,1.306182,"ns/op",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,136.263024,0.304988,"MB/sec",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.021516,0.001179,"B/op",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,75.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,320.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,440.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3184.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6120.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3489792.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,15695.008982,2333.160093,"ns/op",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,99.398399,4.632562,"MB/sec",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.908184,156.259455,"B/op",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.OrdenarArray
