"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003009,0.000006,"ops/ns",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,137.734493,0.295460,"MB/sec",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004609,0.000057,"B/op",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,336.259444,0.942041,"ns/op",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,136.198299,0.371180,"MB/sec",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004663,0.000058,"B/op",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod","sample",1,11343209,373.905777,1.398011,"ns/op",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,132.192101,0.334555,"MB/sec",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.021869,0.001242,"B/op",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,76.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,330.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,451.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3296.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6056.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2912256.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14269.236527,2552.182833,"ns/op",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,97.111517,4.606073,"MB/sec",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6968.007984,156.124556,"B/op",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PendienteRecta
