"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002846,0.000006,"ops/ns",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,130.276540,0.271225,"MB/sec",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004873,0.000061,"B/op",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,352.975359,0.841638,"ns/op",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,129.734345,0.302467,"MB/sec",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004891,0.000061,"B/op",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod","sample",1,10811783,389.641853,0.897307,"ns/op",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,125.969892,0.281342,"MB/sec",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.023007,0.001324,"B/op",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,65.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,340.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,380.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,471.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3344.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5880.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2838528.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,15153.368263,2703.319567,"ns/op",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,96.323853,4.512077,"MB/sec",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.658683,156.109742,"B/op",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
