"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003208,0.000008,"ops/ns",Code.Java.Abacus.v1.Rare.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,146.841443,0.386636,"MB/sec",Code.Java.Abacus.v1.Rare.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004323,0.000054,"B/op",Code.Java.Abacus.v1.Rare.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,30.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,80.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Potencia
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,308.103980,0.923959,"ns/op",Code.Java.Abacus.v1.Rare.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,148.661170,0.427965,"MB/sec",Code.Java.Abacus.v1.Rare.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004272,0.000054,"B/op",Code.Java.Abacus.v1.Rare.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,30.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,77.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Potencia
"com.bench.AbacusBenchmark.testMethod","sample",1,12220391,348.120308,0.201189,"ns/op",Code.Java.Abacus.v1.Rare.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,142.488983,0.359221,"MB/sec",Code.Java.Abacus.v1.Rare.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.020206,0.001190,"B/op",Code.Java.Abacus.v1.Rare.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,28.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,76.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Potencia
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,301.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Potencia
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,340.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Potencia
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Potencia
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Potencia
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,420.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Potencia
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3044.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Potencia
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5808.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Potencia
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,121088.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Potencia
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,11044.783433,1961.730207,"ns/op",Code.Java.Abacus.v1.Rare.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,112.130315,4.779829,"MB/sec",Code.Java.Abacus.v1.Rare.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6967.385230,156.083414,"B/op",Code.Java.Abacus.v1.Rare.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Potencia
