"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002933,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,134.257634,0.298479,"MB/sec",Code.Java.Abacus.v1.Rare.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004730,0.000059,"B/op",Code.Java.Abacus.v1.Rare.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,342.739678,0.751009,"ns/op",Code.Java.Abacus.v1.Rare.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,133.588636,0.282091,"MB/sec",Code.Java.Abacus.v1.Rare.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004753,0.000058,"B/op",Code.Java.Abacus.v1.Rare.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod","sample",1,11147519,383.356132,0.769039,"ns/op",Code.Java.Abacus.v1.Rare.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,129.903519,0.350663,"MB/sec",Code.Java.Abacus.v1.Rare.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022342,0.001348,"B/op",Code.Java.Abacus.v1.Rare.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,340.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,461.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3356.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6048.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2478080.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13189.401198,2035.805259,"ns/op",Code.Java.Abacus.v1.Rare.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,92.500393,3.755584,"MB/sec",Code.Java.Abacus.v1.Rare.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.467066,156.262963,"B/op",Code.Java.Abacus.v1.Rare.RangoEstadistico
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.RangoEstadistico
