"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002982,0.000010,"ops/ns",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,136.488382,0.454311,"MB/sec",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004654,0.000059,"B/op",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,333.863983,0.787414,"ns/op",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,137.150390,0.308315,"MB/sec",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004628,0.000058,"B/op",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod","sample",1,11428885,370.271800,1.105393,"ns/op",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,133.225498,0.278322,"MB/sec",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.021925,0.001191,"B/op",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,330.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,451.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3144.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5976.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2723840.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14519.832335,2090.661081,"ns/op",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,96.603886,3.762674,"MB/sec",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.419162,156.085912,"B/op",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.RedondeoNumero
