"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003070,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,140.510975,0.306765,"MB/sec",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004518,0.000056,"B/op",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,331.766535,0.843020,"ns/op",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,138.033997,0.338816,"MB/sec",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004600,0.000058,"B/op",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,75.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod","sample",1,11600830,363.756652,0.228543,"ns/op",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,135.233207,0.297910,"MB/sec",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.021478,0.001264,"B/op",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,74.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,320.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,441.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3184.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5992.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,213760.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,16023.950100,2246.121809,"ns/op",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,85.803613,3.793092,"MB/sec",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6967.856287,156.312734,"B/op",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.RestaNumeros
