"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002979,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,136.329484,0.307056,"MB/sec",Code.Java.Abacus.v1.Rare.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004658,0.000058,"B/op",Code.Java.Abacus.v1.Rare.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,338.214123,0.760221,"ns/op",Code.Java.Abacus.v1.Rare.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,135.380483,0.291879,"MB/sec",Code.Java.Abacus.v1.Rare.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004689,0.000058,"B/op",Code.Java.Abacus.v1.Rare.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod","sample",1,11255851,373.841133,0.786970,"ns/op",Code.Java.Abacus.v1.Rare.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,131.178112,0.286206,"MB/sec",Code.Java.Abacus.v1.Rare.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022307,0.001322,"B/op",Code.Java.Abacus.v1.Rare.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,330.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,451.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3184.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6000.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2564096.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13518.280439,2226.429592,"ns/op",Code.Java.Abacus.v1.Rare.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,101.477929,4.698436,"MB/sec",Code.Java.Abacus.v1.Rare.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.243513,156.074897,"B/op",Code.Java.Abacus.v1.Rare.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SegundosAHoras
