"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003148,0.000008,"ops/ns",Code.Java.Abacus.v1.Rare.SumaArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,144.090387,0.379527,"MB/sec",Code.Java.Abacus.v1.Rare.SumaArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004405,0.000056,"B/op",Code.Java.Abacus.v1.Rare.SumaArray
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,29.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaArray
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,75.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SumaArray
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,310.966916,0.725133,"ns/op",Code.Java.Abacus.v1.Rare.SumaArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,147.247347,0.331207,"MB/sec",Code.Java.Abacus.v1.Rare.SumaArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004312,0.000054,"B/op",Code.Java.Abacus.v1.Rare.SumaArray
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,30.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaArray
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,78.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SumaArray
"com.bench.AbacusBenchmark.testMethod","sample",1,12182342,350.624750,0.722566,"ns/op",Code.Java.Abacus.v1.Rare.SumaArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,142.017978,0.364868,"MB/sec",Code.Java.Abacus.v1.Rare.SumaArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.020394,0.001166,"B/op",Code.Java.Abacus.v1.Rare.SumaArray
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,28.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaArray
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,75.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SumaArray
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,300.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaArray
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,341.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaArray
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaArray
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaArray
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,420.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaArray
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3012.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaArray
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5856.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaArray
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2543616.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaArray
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13799.419162,2181.487872,"ns/op",Code.Java.Abacus.v1.Rare.SumaArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,107.303128,5.013832,"MB/sec",Code.Java.Abacus.v1.Rare.SumaArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.676647,156.230558,"B/op",Code.Java.Abacus.v1.Rare.SumaArray
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaArray
