"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003048,0.000009,"ops/ns",Code.Java.Abacus.v1.Rare.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,139.519007,0.434952,"MB/sec",Code.Java.Abacus.v1.Rare.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004552,0.000058,"B/op",Code.Java.Abacus.v1.Rare.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,28.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,74.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SumaDigitos
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,322.315827,0.813681,"ns/op",Code.Java.Abacus.v1.Rare.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,142.071916,0.345876,"MB/sec",Code.Java.Abacus.v1.Rare.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004468,0.000056,"B/op",Code.Java.Abacus.v1.Rare.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,28.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SumaDigitos
"com.bench.AbacusBenchmark.testMethod","sample",1,11726037,360.792026,0.210880,"ns/op",Code.Java.Abacus.v1.Rare.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,136.682496,0.348151,"MB/sec",Code.Java.Abacus.v1.Rare.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.021224,0.001203,"B/op",Code.Java.Abacus.v1.Rare.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,320.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,431.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3096.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5896.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,155648.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaDigitos
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,15826.479042,2436.639700,"ns/op",Code.Java.Abacus.v1.Rare.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,90.684534,3.958696,"MB/sec",Code.Java.Abacus.v1.Rare.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.469062,156.059848,"B/op",Code.Java.Abacus.v1.Rare.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaDigitos
