"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003037,0.000009,"ops/ns",Code.Java.Abacus.v1.Rare.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,139.009062,0.421746,"MB/sec",Code.Java.Abacus.v1.Rare.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004569,0.000057,"B/op",Code.Java.Abacus.v1.Rare.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,69.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SumaMatrices
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,327.435861,0.867416,"ns/op",Code.Java.Abacus.v1.Rare.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,139.861444,0.359891,"MB/sec",Code.Java.Abacus.v1.Rare.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004538,0.000056,"B/op",Code.Java.Abacus.v1.Rare.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SumaMatrices
"com.bench.AbacusBenchmark.testMethod","sample",1,11668043,364.664276,0.229613,"ns/op",Code.Java.Abacus.v1.Rare.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,135.982109,0.323121,"MB/sec",Code.Java.Abacus.v1.Rare.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.021292,0.001178,"B/op",Code.Java.Abacus.v1.Rare.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,320.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,441.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3256.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6088.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,101632.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaMatrices
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13418.807385,1888.413856,"ns/op",Code.Java.Abacus.v1.Rare.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,114.003105,5.376779,"MB/sec",Code.Java.Abacus.v1.Rare.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.453094,156.048974,"B/op",Code.Java.Abacus.v1.Rare.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaMatrices
