"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003098,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,141.795615,0.325619,"MB/sec",Code.Java.Abacus.v1.Rare.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004478,0.000056,"B/op",Code.Java.Abacus.v1.Rare.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SumaNumeros
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,325.583351,0.934922,"ns/op",Code.Java.Abacus.v1.Rare.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,140.678670,0.391389,"MB/sec",Code.Java.Abacus.v1.Rare.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004513,0.000056,"B/op",Code.Java.Abacus.v1.Rare.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,74.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SumaNumeros
"com.bench.AbacusBenchmark.testMethod","sample",1,11831628,359.045302,1.267803,"ns/op",Code.Java.Abacus.v1.Rare.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,137.934669,0.290476,"MB/sec",Code.Java.Abacus.v1.Rare.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.020737,0.001154,"B/op",Code.Java.Abacus.v1.Rare.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,320.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,350.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,431.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3116.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5808.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2646016.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaNumeros
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14921.169661,2283.488267,"ns/op",Code.Java.Abacus.v1.Rare.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,99.554858,4.547312,"MB/sec",Code.Java.Abacus.v1.Rare.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.986028,156.288828,"B/op",Code.Java.Abacus.v1.Rare.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaNumeros
