"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003160,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,144.597501,0.322778,"MB/sec",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004392,0.000054,"B/op",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,30.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,81.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,316.303699,0.751208,"ns/op",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,144.766135,0.335552,"MB/sec",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004385,0.000054,"B/op",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,30.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,80.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod","sample",1,11998502,354.097902,1.101211,"ns/op",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,139.888047,0.352529,"MB/sec",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.020839,0.001277,"B/op",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,310.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,341.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,430.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3064.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5928.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2785280.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13750.924152,2023.068226,"ns/op",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,98.348451,4.686658,"MB/sec",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.339321,156.256976,"B/op",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaPares
