"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003062,0.000008,"ops/ns",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,140.145712,0.352783,"MB/sec",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004530,0.000057,"B/op",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,327.543489,0.950920,"ns/op",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,139.841320,0.402158,"MB/sec",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004542,0.000056,"B/op",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod","sample",1,11399415,374.283834,1.388152,"ns/op",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,132.858125,0.373918,"MB/sec",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.021990,0.001240,"B/op",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,75.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,320.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,390.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,451.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3196.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6240.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2928640.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14646.208583,2247.573784,"ns/op",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,95.814161,4.200737,"MB/sec",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.740519,156.065732,"B/op",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaPrimeroN
