"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003201,0.000008,"ops/ns",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,146.509046,0.345892,"MB/sec",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004331,0.000054,"B/op",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,30.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,77.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,309.490958,0.693423,"ns/op",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,147.951411,0.321370,"MB/sec",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004291,0.000053,"B/op",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,30.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,81.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod","sample",1,12461430,341.412570,0.734554,"ns/op",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,145.294885,0.303411,"MB/sec",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.019859,0.001138,"B/op",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,30.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,81.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,300.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,331.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,341.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,341.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,410.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3016.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5808.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2678784.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,11262.387226,2161.684363,"ns/op",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,100.201377,3.901374,"MB/sec",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.317365,156.062179,"B/op",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Trabajo
