"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003211,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.Varianza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,146.966367,0.317278,"MB/sec",Code.Java.Abacus.v1.Rare.Varianza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004321,0.000054,"B/op",Code.Java.Abacus.v1.Rare.Varianza
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,30.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Varianza
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,80.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Varianza
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,306.899889,0.820384,"ns/op",Code.Java.Abacus.v1.Rare.Varianza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,149.215573,0.381309,"MB/sec",Code.Java.Abacus.v1.Rare.Varianza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004255,0.000052,"B/op",Code.Java.Abacus.v1.Rare.Varianza
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,30.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Varianza
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,81.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Varianza
"com.bench.AbacusBenchmark.testMethod","sample",1,12295631,345.099730,0.734625,"ns/op",Code.Java.Abacus.v1.Rare.Varianza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,143.366198,0.331912,"MB/sec",Code.Java.Abacus.v1.Rare.Varianza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.019965,0.001197,"B/op",Code.Java.Abacus.v1.Rare.Varianza
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,29.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Varianza
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,74.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Varianza
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,310.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Varianza
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,331.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Varianza
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,341.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Varianza
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,341.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Varianza
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,420.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Varianza
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3016.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Varianza
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5696.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Varianza
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2613248.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Varianza
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14572.240519,2087.201547,"ns/op",Code.Java.Abacus.v1.Rare.Varianza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,99.503890,4.499529,"MB/sec",Code.Java.Abacus.v1.Rare.Varianza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.115768,156.086855,"B/op",Code.Java.Abacus.v1.Rare.Varianza
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Varianza
