"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002955,0.000006,"ops/ns",Code.Java.Abacus.v1.Rare.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,135.260369,0.277708,"MB/sec",Code.Java.Abacus.v1.Rare.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004692,0.000058,"B/op",Code.Java.Abacus.v1.Rare.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,69.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,335.297781,0.753188,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,136.563809,0.298237,"MB/sec",Code.Java.Abacus.v1.Rare.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004648,0.000057,"B/op",Code.Java.Abacus.v1.Rare.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod","sample",1,11245630,378.347583,0.778985,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,131.064421,0.359934,"MB/sec",Code.Java.Abacus.v1.Rare.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022172,0.001235,"B/op",Code.Java.Abacus.v1.Rare.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,330.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,370.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,451.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3316.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6000.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2527232.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14796.367265,2197.224373,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,98.129873,4.072210,"MB/sec",Code.Java.Abacus.v1.Rare.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.155689,156.078455,"B/op",Code.Java.Abacus.v1.Rare.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.VolumenCilindro
