"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003111,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.VolumenCono
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,142.376356,0.317370,"MB/sec",Code.Java.Abacus.v1.Rare.VolumenCono
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004456,0.000056,"B/op",Code.Java.Abacus.v1.Rare.VolumenCono
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,28.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.VolumenCono
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,74.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.VolumenCono
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,322.971297,0.707349,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCono
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,141.765374,0.300505,"MB/sec",Code.Java.Abacus.v1.Rare.VolumenCono
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004480,0.000056,"B/op",Code.Java.Abacus.v1.Rare.VolumenCono
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,28.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.VolumenCono
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.VolumenCono
"com.bench.AbacusBenchmark.testMethod","sample",1,11946766,354.477377,1.096024,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCono
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,139.276362,0.384870,"MB/sec",Code.Java.Abacus.v1.Rare.VolumenCono
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.020860,0.001213,"B/op",Code.Java.Abacus.v1.Rare.VolumenCono
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.VolumenCono
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.VolumenCono
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,320.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCono
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,341.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCono
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCono
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCono
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,430.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCono
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3056.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCono
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5720.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCono
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2850816.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCono
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14219.930140,2043.613086,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCono
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,109.516430,5.576660,"MB/sec",Code.Java.Abacus.v1.Rare.VolumenCono
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.674651,156.272920,"B/op",Code.Java.Abacus.v1.Rare.VolumenCono
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.VolumenCono
