"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003138,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,143.601981,0.314894,"MB/sec",Code.Java.Abacus.v1.Rare.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004421,0.000055,"B/op",Code.Java.Abacus.v1.Rare.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,30.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,78.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.VolumenCubo
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,323.602409,0.746446,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,141.502909,0.321189,"MB/sec",Code.Java.Abacus.v1.Rare.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004487,0.000056,"B/op",Code.Java.Abacus.v1.Rare.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.VolumenCubo
"com.bench.AbacusBenchmark.testMethod","sample",1,12059246,354.338761,0.841487,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,140.602110,0.388659,"MB/sec",Code.Java.Abacus.v1.Rare.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.020631,0.001254,"B/op",Code.Java.Abacus.v1.Rare.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,310.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,341.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,431.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3016.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5888.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2977792.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCubo
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13559.587824,1956.418120,"ns/op",Code.Java.Abacus.v1.Rare.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,99.427585,4.154315,"MB/sec",Code.Java.Abacus.v1.Rare.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6967.025948,156.112470,"B/op",Code.Java.Abacus.v1.Rare.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.VolumenCubo
