"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003007,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,137.640054,0.334433,"MB/sec",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004613,0.000058,"B/op",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,327.916805,0.829035,"ns/op",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,139.647980,0.339502,"MB/sec",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004546,0.000056,"B/op",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod","sample",1,11582404,364.593050,0.228297,"ns/op",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,135.006968,0.282353,"MB/sec",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.021173,0.001169,"B/op",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,75.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,320.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,431.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3144.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5872.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,211968.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14442.059880,2001.875581,"ns/op",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,94.775069,3.644285,"MB/sec",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6967.369261,156.335281,"B/op",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.VolumenEsfera
