"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002770,0.000007,"ops/ns",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,126.759051,0.301495,"MB/sec",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005009,0.000062,"B/op",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,67.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,360.073825,0.779908,"ns/op",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,127.159373,0.264553,"MB/sec",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004992,0.000061,"B/op",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,66.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod","sample",1,10775889,394.406630,1.556050,"ns/op",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,124.963966,0.272857,"MB/sec",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.023343,0.001280,"B/op",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,350.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,471.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3416.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6160.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3031040.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13921.950100,2155.962810,"ns/op",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,98.789765,4.572652,"MB/sec",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.091816,156.274942,"B/op",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.AreaCuadrado
