"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002882,0.000006,"ops/ns",Code.Java.Abacus.v1.Refactored.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,131.895742,0.254934,"MB/sec",Code.Java.Abacus.v1.Refactored.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004812,0.000059,"B/op",Code.Java.Abacus.v1.Refactored.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,74.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.AreaEsfera
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,351.313964,0.753363,"ns/op",Code.Java.Abacus.v1.Refactored.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,130.329740,0.270356,"MB/sec",Code.Java.Abacus.v1.Refactored.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004871,0.000061,"B/op",Code.Java.Abacus.v1.Refactored.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.AreaEsfera
"com.bench.AbacusBenchmark.testMethod","sample",1,11032141,384.411698,1.243489,"ns/op",Code.Java.Abacus.v1.Refactored.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,128.572822,0.254011,"MB/sec",Code.Java.Abacus.v1.Refactored.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022746,0.001377,"B/op",Code.Java.Abacus.v1.Refactored.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,69.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,341.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,461.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3216.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5896.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3162112.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaEsfera
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14332.251497,2137.553463,"ns/op",Code.Java.Abacus.v1.Refactored.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,101.618740,4.650131,"MB/sec",Code.Java.Abacus.v1.Refactored.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.690619,156.098063,"B/op",Code.Java.Abacus.v1.Refactored.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.AreaEsfera
