"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002705,0.000006,"ops/ns",Code.Java.Abacus.v1.Refactored.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,123.784579,0.258511,"MB/sec",Code.Java.Abacus.v1.Refactored.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005128,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,62.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,365.464104,0.850120,"ns/op",Code.Java.Abacus.v1.Refactored.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,125.294734,0.280383,"MB/sec",Code.Java.Abacus.v1.Refactored.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005065,0.000062,"B/op",Code.Java.Abacus.v1.Refactored.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,63.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod","sample",1,11141294,411.664627,0.752095,"ns/op",Code.Java.Abacus.v1.Refactored.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,119.509486,0.308339,"MB/sec",Code.Java.Abacus.v1.Refactored.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.024416,0.001350,"B/op",Code.Java.Abacus.v1.Refactored.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,64.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,411.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,411.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,501.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3444.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6112.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2412544.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13777.097804,2312.797133,"ns/op",Code.Java.Abacus.v1.Refactored.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,100.087458,4.489954,"MB/sec",Code.Java.Abacus.v1.Refactored.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.123752,156.284183,"B/op",Code.Java.Abacus.v1.Refactored.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.AreaRectangulo
