"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002796,0.000008,"ops/ns",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,127.971632,0.344592,"MB/sec",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004962,0.000062,"B/op",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,65.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,363.915371,1.142486,"ns/op",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,125.878847,0.383260,"MB/sec",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005046,0.000065,"B/op",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,68.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod","sample",1,10637586,401.268750,0.942036,"ns/op",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,123.589187,0.270043,"MB/sec",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.023835,0.001300,"B/op",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,67.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,350.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,390.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,411.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,481.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3404.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6096.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2945024.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,15542.576846,2373.477708,"ns/op",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,100.585961,4.500214,"MB/sec",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.341317,156.246042,"B/op",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.AreaTriangulo
