"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002662,0.000005,"ops/ns",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,121.856770,0.226041,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005208,0.000065,"B/op",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,23.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,64.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,371.518211,0.732647,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,123.239029,0.239131,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005152,0.000064,"B/op",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,63.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod","sample",1,11272348,411.800932,1.037029,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,119.648242,0.216973,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.024562,0.001357,"B/op",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,63.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,411.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,501.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3404.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6040.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2707456.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,12833.490020,2082.643896,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,112.346315,4.847669,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.053892,156.223775,"B/op",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoDescuento
