"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002814,0.000006,"ops/ns",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,128.811100,0.259586,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004927,0.000061,"B/op",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,356.927348,0.855577,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,128.290328,0.295382,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004948,0.000062,"B/op",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod","sample",1,10842725,390.422608,1.374865,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,126.222256,0.304385,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.023325,0.001327,"B/op",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,66.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,350.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,380.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,471.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3364.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6053.819200,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3493888.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14995.646707,2297.172666,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,99.051801,4.579943,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.722555,156.113323,"B/op",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoEdad
