"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002752,0.000006,"ops/ns",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,125.936961,0.268307,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005041,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,68.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,368.941086,0.706283,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,124.094535,0.229510,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005115,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,63.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod","sample",1,11224398,405.515830,0.232847,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,121.475353,0.225872,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.024125,0.001468,"B/op",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,68.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,491.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3376.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6016.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,185088.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14510.197605,2250.151286,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,95.085277,4.048548,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.243513,156.274163,"B/op",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoPropina
