"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002664,0.000005,"ops/ns",Code.Java.Abacus.v1.Refactored.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,121.920793,0.233760,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005206,0.000064,"B/op",Code.Java.Abacus.v1.Refactored.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,65.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,376.816149,0.795632,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,121.505864,0.249419,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005225,0.000065,"B/op",Code.Java.Abacus.v1.Refactored.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,61.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod","sample",1,11184187,409.151771,0.799531,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,119.705607,0.218951,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.024481,0.001376,"B/op",Code.Java.Abacus.v1.Refactored.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,65.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,370.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,400.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,410.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,491.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3384.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5976.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2613248.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14499.016966,2256.010704,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,110.830431,5.464951,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6964.686627,156.041375,"B/op",Code.Java.Abacus.v1.Refactored.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoVelocidad
