"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002483,0.000006,"ops/ns",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,113.640150,0.290150,"MB/sec",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005586,0.000070,"B/op",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,23.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,62.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,394.682340,0.852661,"ns/op",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,116.008598,0.242606,"MB/sec",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005473,0.000067,"B/op",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,62.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod","sample",1,18660593,427.613136,0.149979,"ns/op",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,113.376894,0.249623,"MB/sec",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.026006,0.001438,"B/op",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,22.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,59.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,390.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,421.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,431.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,431.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,521.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,2944.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,153856.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,12771.427146,2332.714929,"ns/op",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,106.455894,4.747163,"MB/sec",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.954092,156.639416,"B/op",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CoeficienteVariacion
