"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002717,0.000007,"ops/ns",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,124.339741,0.332595,"MB/sec",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005107,0.000064,"B/op",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,67.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,362.782652,0.952418,"ns/op",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,126.238979,0.322050,"MB/sec",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005029,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,65.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod","sample",1,10749691,403.651234,1.248377,"ns/op",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,121.999467,0.271201,"MB/sec",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.024010,0.001332,"B/op",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,67.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,350.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,481.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3484.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6112.246400,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2822144.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13948.752495,2100.848874,"ns/op",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,108.942330,4.781979,"MB/sec",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.379242,156.256333,"B/op",Code.Java.Abacus.v1.Refactored.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ContarImpares
