"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002848,0.000007,"ops/ns",Code.Java.Abacus.v1.Refactored.ContarPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,130.320640,0.336740,"MB/sec",Code.Java.Abacus.v1.Refactored.ContarPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004871,0.000061,"B/op",Code.Java.Abacus.v1.Refactored.ContarPares
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ContarPares
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,68.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ContarPares
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,355.229701,0.819841,"ns/op",Code.Java.Abacus.v1.Refactored.ContarPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,128.897367,0.287269,"MB/sec",Code.Java.Abacus.v1.Refactored.ContarPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004925,0.000062,"B/op",Code.Java.Abacus.v1.Refactored.ContarPares
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ContarPares
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ContarPares
"com.bench.AbacusBenchmark.testMethod","sample",1,10844771,388.357016,0.242389,"ns/op",Code.Java.Abacus.v1.Refactored.ContarPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,126.350512,0.276029,"MB/sec",Code.Java.Abacus.v1.Refactored.ContarPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.023153,0.001296,"B/op",Code.Java.Abacus.v1.Refactored.ContarPares
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ContarPares
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ContarPares
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,350.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ContarPares
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,380.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ContarPares
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,390.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ContarPares
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ContarPares
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,471.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ContarPares
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3416.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ContarPares
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6240.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ContarPares
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,209920.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ContarPares
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13181.090818,2117.485098,"ns/op",Code.Java.Abacus.v1.Refactored.ContarPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,99.509315,4.212903,"MB/sec",Code.Java.Abacus.v1.Refactored.ContarPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.634731,156.280594,"B/op",Code.Java.Abacus.v1.Refactored.ContarPares
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ContarPares
