"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002612,0.000006,"ops/ns",Code.Java.Abacus.v1.Refactored.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,119.551337,0.254314,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005311,0.000066,"B/op",Code.Java.Abacus.v1.Refactored.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,67.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionBinario
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,379.233801,0.878492,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,120.747972,0.273956,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005256,0.000065,"B/op",Code.Java.Abacus.v1.Refactored.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,64.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionBinario
"com.bench.AbacusBenchmark.testMethod","sample",1,12324628,416.345709,0.999136,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,117.693774,0.259511,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.024936,0.001352,"B/op",Code.Java.Abacus.v1.Refactored.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,64.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,370.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,411.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,420.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,501.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3236.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5936.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2600960.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionBinario
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14187.291417,2317.450745,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,104.249451,4.651003,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.395210,156.088169,"B/op",Code.Java.Abacus.v1.Refactored.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionBinario
