"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002350,0.000005,"ops/ns",Code.Java.Abacus.v1.Refactored.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,107.568726,0.220787,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005903,0.000073,"B/op",Code.Java.Abacus.v1.Refactored.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,21.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,55.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,428.174287,1.090122,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,106.954751,0.261371,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005937,0.000074,"B/op",Code.Java.Abacus.v1.Refactored.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,21.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,58.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod","sample",1,18107949,461.797110,0.543477,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,105.674116,0.207532,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.028109,0.001659,"B/op",Code.Java.Abacus.v1.Refactored.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,21.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,59.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,420.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,451.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,461.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,461.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,561.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3004.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5416.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2842624.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,12427.468064,2168.814680,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,102.701593,4.146060,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6964.678643,156.042592,"B/op",Code.Java.Abacus.v1.Refactored.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionCelsiusFahrenheit
