"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002344,0.000005,"ops/ns",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,107.270030,0.240740,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005918,0.000074,"B/op",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,21.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,56.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,425.783128,0.880846,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,107.532903,0.213304,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005904,0.000073,"B/op",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,21.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,57.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod","sample",1,18002207,458.598517,0.161688,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,105.058653,0.182544,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.027658,0.001453,"B/op",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,21.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,59.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,420.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,451.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,460.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,461.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,561.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,2984.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5256.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,210944.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13348.885230,1797.267538,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,99.576213,3.980095,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.187625,156.061489,"B/op",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius
