"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002531,0.000012,"ops/ns",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,115.861682,0.560181,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005487,0.000073,"B/op",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,23.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,61.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,383.459910,0.819088,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,119.404240,0.248510,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005318,0.000066,"B/op",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,65.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod","sample",1,14569822,422.676230,0.991337,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,115.636216,0.253551,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.025528,0.001449,"B/op",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,23.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,64.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,380.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,411.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,421.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,421.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,511.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3056.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5616.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3108864.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13106.755489,2060.380882,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,102.297883,4.410288,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.491018,155.926638,"B/op",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionKgLibras
