"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002532,0.000005,"ops/ns",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,115.890162,0.230041,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005478,0.000068,"B/op",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,63.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,400.392048,1.044844,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,114.380961,0.289447,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005552,0.000069,"B/op",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,23.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,60.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod","sample",1,19192010,431.670769,0.675297,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,112.004639,0.234332,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.026342,0.001451,"B/op",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,21.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,58.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,390.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,421.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,431.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,431.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,521.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,2952.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5264.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2801664.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14083.740519,2408.216993,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,96.900747,4.223006,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.419162,155.935684,"B/op",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
