"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002934,0.000008,"ops/ns",Code.Java.Abacus.v1.Refactored.Densidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,134.271878,0.346401,"MB/sec",Code.Java.Abacus.v1.Refactored.Densidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004729,0.000059,"B/op",Code.Java.Abacus.v1.Refactored.Densidad
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Densidad
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,75.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Densidad
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,344.477997,0.807926,"ns/op",Code.Java.Abacus.v1.Refactored.Densidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,132.927441,0.305617,"MB/sec",Code.Java.Abacus.v1.Refactored.Densidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004774,0.000059,"B/op",Code.Java.Abacus.v1.Refactored.Densidad
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Densidad
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,75.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Densidad
"com.bench.AbacusBenchmark.testMethod","sample",1,11404379,372.564178,0.222585,"ns/op",Code.Java.Abacus.v1.Refactored.Densidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,132.922292,0.292568,"MB/sec",Code.Java.Abacus.v1.Refactored.Densidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.021820,0.001204,"B/op",Code.Java.Abacus.v1.Refactored.Densidad
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,28.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Densidad
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,77.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Densidad
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,330.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Densidad
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Densidad
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Densidad
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Densidad
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,451.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Densidad
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3124.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Densidad
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5896.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Densidad
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,149760.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Densidad
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13911.234531,2185.351047,"ns/op",Code.Java.Abacus.v1.Refactored.Densidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,96.944012,4.316834,"MB/sec",Code.Java.Abacus.v1.Refactored.Densidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.459082,156.079137,"B/op",Code.Java.Abacus.v1.Refactored.Densidad
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Densidad
