"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002587,0.000007,"ops/ns",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,118.390218,0.301303,"MB/sec",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005363,0.000067,"B/op",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,62.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,383.081925,0.862649,"ns/op",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,119.527944,0.261425,"MB/sec",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005310,0.000066,"B/op",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,64.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod","sample",1,15069381,431.199165,0.632541,"ns/op",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,114.958236,0.293628,"MB/sec",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.025736,0.001421,"B/op",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,66.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,370.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,421.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,431.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,440.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,521.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3024.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5664.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2760704.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14291.652695,2245.164304,"ns/op",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,96.200956,4.317319,"MB/sec",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6967.664671,155.951459,"B/op",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DesviacionEstandar
