"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002606,0.000005,"ops/ns",Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,119.257050,0.243156,"MB/sec",Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005320,0.000066,"B/op",Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,63.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,390.775641,0.836686,"ns/op",Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,117.172467,0.245748,"MB/sec",Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005415,0.000067,"B/op",Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,63.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod","sample",1,16211198,425.019293,2.377159,"ns/op",Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,115.362315,0.278579,"MB/sec",Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.025683,0.001482,"B/op",Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,22.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,59.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,380.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,411.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,431.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,431.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,511.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,2984.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5584.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,11386880.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,15372.413174,2206.671188,"ns/op",Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,91.912349,4.145807,"MB/sec",Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.413174,156.049005,"B/op",Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana
