"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002680,0.000006,"ops/ns",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,122.675600,0.273815,"MB/sec",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005176,0.000064,"B/op",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,63.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,368.293628,0.919916,"ns/op",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,124.339909,0.301592,"MB/sec",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005107,0.000065,"B/op",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,66.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod","sample",1,11296378,411.516259,1.036522,"ns/op",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,119.524018,0.279545,"MB/sec",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.024549,0.001416,"B/op",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,68.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,410.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,411.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,501.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3456.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6000.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3465216.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14594.638723,2035.641748,"ns/op",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,102.699282,5.070954,"MB/sec",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.059880,156.263317,"B/op",Code.Java.Abacus.v1.Refactored.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DivisionNumeros
