"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002704,0.000006,"ops/ns",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,123.758521,0.283734,"MB/sec",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005129,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,64.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,369.020684,0.861441,"ns/op",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,124.085821,0.280610,"MB/sec",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005114,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,63.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod","sample",1,11200274,405.001413,0.232515,"ns/op",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,120.974780,0.214885,"MB/sec",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.023974,0.001252,"B/op",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,67.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,491.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3456.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6056.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,210432.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,12753.113772,1976.297095,"ns/op",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,110.744034,4.826482,"MB/sec",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.483034,156.078514,"B/op",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.EnergiaKinetica
