"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002667,0.000007,"ops/ns",Code.Java.Abacus.v1.Refactored.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,122.074664,0.335588,"MB/sec",Code.Java.Abacus.v1.Refactored.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005203,0.000065,"B/op",Code.Java.Abacus.v1.Refactored.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,64.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,375.115455,0.755194,"ns/op",Code.Java.Abacus.v1.Refactored.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,122.049480,0.238628,"MB/sec",Code.Java.Abacus.v1.Refactored.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005202,0.000064,"B/op",Code.Java.Abacus.v1.Refactored.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,60.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod","sample",1,11758860,409.827228,0.858522,"ns/op",Code.Java.Abacus.v1.Refactored.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,119.882573,0.276597,"MB/sec",Code.Java.Abacus.v1.Refactored.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.024731,0.001440,"B/op",Code.Java.Abacus.v1.Refactored.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,65.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,411.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,411.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,491.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3264.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5960.911200,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2961408.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14507.745509,2172.389849,"ns/op",Code.Java.Abacus.v1.Refactored.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,90.462158,3.679806,"MB/sec",Code.Java.Abacus.v1.Refactored.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.181637,156.055452,"B/op",Code.Java.Abacus.v1.Refactored.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.EnergiaPotencial
