"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003035,0.000007,"ops/ns",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,138.888203,0.315465,"MB/sec",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004572,0.000057,"B/op",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,332.165791,0.747329,"ns/op",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,137.853426,0.304823,"MB/sec",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004605,0.000056,"B/op",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod","sample",1,11584624,365.627272,1.771336,"ns/op",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,135.045926,0.355431,"MB/sec",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.021182,0.001212,"B/op",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,330.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,370.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,441.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3076.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5840.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,5734400.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,15419.767465,2105.474854,"ns/op",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,88.022649,3.376843,"MB/sec",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6964.910180,156.076910,"B/op",Code.Java.Abacus.v1.Refactored.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Fuerza
