"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002797,0.000009,"ops/ns",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,128.028745,0.432188,"MB/sec",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004962,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,351.207006,0.681687,"ns/op",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,130.362469,0.248159,"MB/sec",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004864,0.000060,"B/op",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,69.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod","sample",1,10861715,389.918111,0.230528,"ns/op",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,126.237978,0.273016,"MB/sec",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.023075,0.001349,"B/op",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,66.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,340.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,380.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,471.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3324.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5992.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,148992.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14503.163673,1949.073352,"ns/op",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,94.701194,4.451330,"MB/sec",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.125749,156.231110,"B/op",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.FuncionSeno
