"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002757,0.000006,"ops/ns",Code.Java.Abacus.v1.Refactored.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,126.177876,0.268432,"MB/sec",Code.Java.Abacus.v1.Refactored.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005030,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,66.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.InteresSimple
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,363.762115,0.682217,"ns/op",Code.Java.Abacus.v1.Refactored.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,125.861113,0.228569,"MB/sec",Code.Java.Abacus.v1.Refactored.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005044,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.InteresSimple
"com.bench.AbacusBenchmark.testMethod","sample",1,10965997,404.334382,1.378563,"ns/op",Code.Java.Abacus.v1.Refactored.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,122.047864,0.286334,"MB/sec",Code.Java.Abacus.v1.Refactored.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.023949,0.001420,"B/op",Code.Java.Abacus.v1.Refactored.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,66.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.InteresSimple
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,350.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.InteresSimple
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.InteresSimple
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.InteresSimple
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.InteresSimple
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,491.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.InteresSimple
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3436.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.InteresSimple
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5968.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.InteresSimple
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2674688.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.InteresSimple
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13181.144711,2269.946009,"ns/op",Code.Java.Abacus.v1.Refactored.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,103.628176,4.514185,"MB/sec",Code.Java.Abacus.v1.Refactored.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.756487,156.070624,"B/op",Code.Java.Abacus.v1.Refactored.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.InteresSimple
