"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002774,0.000007,"ops/ns",Code.Java.Abacus.v1.Refactored.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,126.973697,0.310468,"MB/sec",Code.Java.Abacus.v1.Refactored.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005000,0.000062,"B/op",Code.Java.Abacus.v1.Refactored.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,64.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.InvertirArray
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,364.363644,0.737539,"ns/op",Code.Java.Abacus.v1.Refactored.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,125.650471,0.246173,"MB/sec",Code.Java.Abacus.v1.Refactored.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005053,0.000062,"B/op",Code.Java.Abacus.v1.Refactored.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,66.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.InvertirArray
"com.bench.AbacusBenchmark.testMethod","sample",1,10839028,395.569889,0.240292,"ns/op",Code.Java.Abacus.v1.Refactored.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,124.313332,0.309310,"MB/sec",Code.Java.Abacus.v1.Refactored.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.023709,0.001398,"B/op",Code.Java.Abacus.v1.Refactored.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,65.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.InvertirArray
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,350.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.InvertirArray
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.InvertirArray
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.InvertirArray
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,400.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.InvertirArray
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,481.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.InvertirArray
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3276.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.InvertirArray
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6128.776800,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.InvertirArray
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,209920.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.InvertirArray
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13135.562874,2064.006263,"ns/op",Code.Java.Abacus.v1.Refactored.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,103.860785,4.118431,"MB/sec",Code.Java.Abacus.v1.Refactored.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.363273,156.096184,"B/op",Code.Java.Abacus.v1.Refactored.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.InvertirArray
