"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003004,0.000007,"ops/ns",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,137.465168,0.314161,"MB/sec",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004617,0.000057,"B/op",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,336.988092,0.785072,"ns/op",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,135.882208,0.304485,"MB/sec",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004669,0.000057,"B/op",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,74.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod","sample",1,11332541,371.963587,0.804577,"ns/op",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,132.087047,0.299977,"MB/sec",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.021716,0.001191,"B/op",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,330.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,450.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3136.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5744.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2650112.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14429.944112,2412.299274,"ns/op",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,96.440084,4.306427,"MB/sec",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.269461,156.062846,"B/op",Code.Java.Abacus.v1.Refactored.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.LeyOhm
