"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002866,0.000005,"ops/ns",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,131.188943,0.242372,"MB/sec",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004834,0.000060,"B/op",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,69.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,354.831288,0.788121,"ns/op",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,129.038359,0.278408,"MB/sec",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004921,0.000061,"B/op",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,68.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod","sample",1,10743947,393.932927,0.858342,"ns/op",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,125.173029,0.270225,"MB/sec",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.023439,0.001210,"B/op",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,68.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,350.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,471.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3476.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6276.841600,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2678784.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,12135.093812,2155.336980,"ns/op",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,105.256756,4.460447,"MB/sec",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.812375,156.259516,"B/op",Code.Java.Abacus.v1.Refactored.MCDEuclides
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MCDEuclides
