"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003081,0.000007,"ops/ns",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,140.993980,0.307043,"MB/sec",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004503,0.000056,"B/op",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,324.678049,0.684965,"ns/op",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,141.015489,0.287187,"MB/sec",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004501,0.000055,"B/op",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod","sample",1,11897855,357.078018,0.783123,"ns/op",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,138.713447,0.325127,"MB/sec",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.020969,0.001267,"B/op",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,320.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,350.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,431.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3004.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5696.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2715648.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13453.156687,2082.167711,"ns/op",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,108.777205,5.021358,"MB/sec",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.820359,156.258670,"B/op",Code.Java.Abacus.v1.Refactored.MCM
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MCM
