"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002775,0.000006,"ops/ns",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,127.016077,0.290560,"MB/sec",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004997,0.000062,"B/op",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,65.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,360.771665,0.898076,"ns/op",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,126.934292,0.308605,"MB/sec",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005002,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,63.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod","sample",1,10892371,399.854764,1.455983,"ns/op",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,123.580295,0.327062,"MB/sec",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.023716,0.001510,"B/op",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,66.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,350.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,390.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,400.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,481.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3364.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5904.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2899968.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,15669.894212,2344.428772,"ns/op",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,90.540512,3.755373,"MB/sec",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.834331,156.100453,"B/op",Code.Java.Abacus.v1.Refactored.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MaximoArray
